DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
16-Mar-2026,EQ,"543.00","545.70","524.60","542.75","530.20","530.35","533.02","886.80","524.60",6921559,"3,68,93,44,778.95",70767
13-Mar-2026,EQ,"557.25","558.90","540.45","558.10","541.75","542.75","547.08","886.80","540.45",5007908,"2,73,97,28,863.40",63229
12-Mar-2026,EQ,"568.40","571.75","555.55","573.20","557.60","558.10","562.13","886.80","553.55",3176429,"1,78,55,78,539.15",44597
11-Mar-2026,EQ,"585.30","595.00","571.65","584.55","573.70","573.20","585.03","886.80","553.55",3717062,"2,17,45,76,250.05",58005
10-Mar-2026,EQ,"580.20","587.00","575.25","574.95","585.30","584.55","581.75","886.80","553.55",4701725,"2,73,52,14,013.85",87706
09-Mar-2026,EQ,"566.00","577.40","553.55","577.55","574.30","574.95","566.31","886.80","553.55",4442106,"2,51,56,13,546.15",82587
06-Mar-2026,EQ,"584.60","584.85","574.85","585.15","578.40","577.55","578.97","886.80","562.75",5424431,"3,14,05,69,127.60",107440
05-Mar-2026,EQ,"571.45","589.35","571.45","569.05","586.00","585.15","581.48","886.80","562.75",7827655,"4,55,16,19,875.30",76944
04-Mar-2026,EQ,"578.25","578.75","562.75","590.20","566.20","569.05","568.81","886.80","562.75",14902221,"8,47,65,72,366.15",153282
02-Mar-2026,EQ,"580.00","594.15","577.25","603.85","588.00","590.20","587.40","886.80","577.25",4242819,"2,49,22,35,150.30",67561
27-Feb-2026,EQ,"610.00","613.05","600.90","610.80","602.05","603.85","605.23","886.80","586.65",4023729,"2,43,52,74,080.30",48227
26-Feb-2026,EQ,"614.00","616.45","605.10","611.20","611.90","610.80","609.73","886.80","586.65",2671861,"1,62,91,08,187.95",30991
25-Feb-2026,EQ,"617.00","623.85","607.45","611.65","611.00","611.20","615.44","886.80","586.65",3522834,"2,16,81,00,229.15",42506
24-Feb-2026,EQ,"623.15","624.30","608.25","626.30","613.55","611.65","614.21","886.80","586.65",2835264,"1,74,14,54,232.30",36499
23-Feb-2026,EQ,"632.50","634.00","622.85","629.30","625.10","626.30","626.52","886.80","586.65",1932609,"1,21,08,21,137.45",27957
20-Feb-2026,EQ,"620.00","630.60","616.00","620.50","629.00","629.30","624.66","886.80","586.65",3422127,"2,13,76,73,541.00",42086
19-Feb-2026,EQ,"642.45","644.45","617.40","642.45","620.30","620.50","628.60","886.80","586.65",2131815,"1,34,00,62,321.95",35292
18-Feb-2026,EQ,"639.05","645.35","632.35","639.05","642.50","642.45","638.85","886.80","586.65",908272,"58,02,47,486.00",18489
17-Feb-2026,EQ,"643.00","643.30","635.70","643.80","638.80","639.05","639.45","886.80","586.65",1136224,"72,65,62,148.40",22824
16-Feb-2026,EQ,"625.35","645.30","622.00","626.40","643.50","643.80","638.11","886.80","586.65",2231253,"1,42,37,94,582.25",33123
13-Feb-2026,EQ,"641.60","641.60","623.55","651.80","626.95","626.40","629.15","886.80","586.65",4838136,"3,04,38,96,016.50",63061
12-Feb-2026,EQ,"670.10","670.25","650.10","672.05","650.55","651.80","658.50","886.80","586.65",3109096,"2,04,73,26,803.55",43221
11-Feb-2026,EQ,"674.40","674.40","662.05","671.80","670.50","672.05","668.25","886.80","586.65",2011690,"1,34,43,16,102.95",27561
10-Feb-2026,EQ,"673.00","676.60","667.00","671.15","672.00","671.80","671.60","886.80","586.65",2932204,"1,96,92,67,708.95",33321
09-Feb-2026,EQ,"668.10","673.80","666.45","663.75","670.90","671.15","670.76","886.80","586.65",1727533,"1,15,87,62,019.45",44265
06-Feb-2026,EQ,"660.85","665.65","649.30","661.30","661.50","663.75","659.30","886.80","586.65",2687146,"1,77,16,27,541.95",43599
05-Feb-2026,EQ,"660.00","663.25","647.65","659.85","661.50","661.30","655.86","886.80","586.65",2184966,"1,43,30,35,675.50",31859
04-Feb-2026,EQ,"652.20","662.55","637.15","650.40","658.70","659.85","652.37","886.80","586.65",2438362,"1,59,07,08,645.40",35632
03-Feb-2026,EQ,"670.05","674.40","645.85","626.30","649.55","650.40","656.81","886.80","586.65",5722963,"3,75,88,78,454.10",88644
02-Feb-2026,EQ,"614.00","628.55","610.05","613.35","628.00","626.30","621.63","886.80","586.65",2411331,"1,49,89,44,877.55",43509
01-Feb-2026,EQ,"638.90","642.30","592.90","635.75","614.00","613.35","620.99","886.80","586.65",3556353,"2,20,84,63,825.65",48332
30-Jan-2026,EQ,"633.10","638.90","627.00","638.55","635.00","635.75","635.23","886.80","586.65",3937443,"2,50,11,99,144.80",48771
29-Jan-2026,EQ,"627.00","641.75","624.90","625.55","638.00","638.55","634.19","886.80","586.65",4990065,"3,16,46,45,307.50",59032
28-Jan-2026,EQ,"610.00","627.40","606.05","609.55","626.40","625.55","617.28","886.80","586.65",6678297,"4,12,23,52,079.25",88982
27-Jan-2026,EQ,"596.00","611.30","589.25","588.45","610.80","609.55","599.60","886.80","586.65",9013655,"5,40,45,66,319.60",127228
23-Jan-2026,EQ,"620.00","622.00","586.65","613.30","588.00","588.45","603.56","886.80","586.65",10792256,"6,51,37,67,708.40",114408
22-Jan-2026,EQ,"625.30","625.55","607.10","617.65","614.65","613.30","614.03","886.80","601.20",7416397,"4,55,38,94,482.95",85648
21-Jan-2026,EQ,"615.00","622.90","607.50","612.90","619.75","617.65","614.87","886.80","601.20",5619055,"3,45,50,08,028.40",76225
20-Jan-2026,EQ,"640.00","640.85","608.85","641.85","610.00","612.90","621.49","886.80","601.20",7084565,"4,40,29,81,639.50",84374
19-Jan-2026,EQ,"649.00","651.85","636.65","649.85","637.75","641.85","642.70","886.80","601.20",2279973,"1,46,53,40,414.65",37846
16-Jan-2026,EQ,"654.50","666.20","646.05","651.05","649.60","649.85","654.87","886.80","601.20",5189752,"3,39,86,00,056.20",97956
14-Jan-2026,EQ,"652.00","654.45","642.30","652.40","650.00","651.05","649.00","886.80","601.20",7138253,"4,63,27,29,008.50",77721
13-Jan-2026,EQ,"660.00","665.25","641.05","659.65","651.50","652.40","649.69","886.80","601.20",8029667,"5,21,68,20,811.85",98570
12-Jan-2026,EQ,"668.00","668.00","648.75","670.90","659.50","659.65","655.67","886.80","601.20",4901801,"3,21,39,41,439.95",85582
09-Jan-2026,EQ,"692.60","693.75","666.60","692.40","671.00","670.90","677.76","886.80","601.20",3796350,"2,57,30,24,453.30",68940
08-Jan-2026,EQ,"703.15","713.75","690.00","703.25","691.40","692.40","696.62","886.80","601.20",3614003,"2,51,75,91,671.35",67127
07-Jan-2026,EQ,"705.00","706.00","693.00","706.30","703.15","703.25","699.04","886.80","601.20",2701653,"1,88,85,66,903.85",46449
06-Jan-2026,EQ,"715.00","715.00","702.75","711.35","705.50","706.30","709.14","886.80","601.20",2417169,"1,71,41,22,728.95",33070
05-Jan-2026,EQ,"702.00","713.80","696.45","698.20","712.00","711.35","706.29","886.80","601.20",4016984,"2,83,71,49,640.70",70624
02-Jan-2026,EQ,"692.65","707.45","692.65","691.40","698.30","698.20","699.91","886.80","601.20",4064871,"2,84,50,44,501.05",81920
01-Jan-2026,EQ,"690.20","693.85","681.95","687.40","691.65","691.40","689.92","886.80","601.20",1564403,"1,07,93,16,056.55",25458
31-Dec-2025,EQ,"680.65","692.55","680.10","680.65","689.00","687.40","686.95","886.80","601.20",1781196,"1,22,35,84,022.00",25498
